Year,Champion,Runner-up,Third
1987,New Zealand,France,Wales
1991,Australia,England,New Zealand
1995,South Africa,New Zealand,France
1999,Australia,France,South Africa
2003,England,Australia,New Zealand
2007,South Africa,England,Argentina
2011,New Zealand,France,Australia
2015,New Zealand,Australia,South Africa
2019,South Africa,England,New Zealand
2023,South Africa,New Zealand,England
